id,name,host_id,host_name,host_is_superhost,superhost_status,borough,neighbourhood,latitude,longitude,room_type,price,accommodates,price_per_guest,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,host_tier,price_category,availability_365,rating,listing_url
10001,Sunny Room in Williamsburg,1053,Ava,t,Superhost,Brooklyn,Williamsburg,40.67721,-73.96291,Entire home/apt,292,3,97.33,1,75,2026-04-24,3.17,2,Small Host (2-4),Luxury (>$250),91,4.94,https://www.airbnb.com/rooms/10001
10002,Quiet Room in SoHo,1177,Charlotte,t,Superhost,Manhattan,SoHo,40.78571,-73.95554,Entire home/apt,417,2,208.5,30,71,2026-05-05,2.75,3,Small Host (2-4),Luxury (>$250),129,4.97,https://www.airbnb.com/rooms/10002
10003,Spacious Suite in Greenpoint,1350,Michael,f,Standard Host,Brooklyn,Greenpoint,40.69042,-73.92422,Private room,91,1,91.0,1,22,2026-07-17,0.75,1,Single Listing,Budget (<$100),171,4.41,https://www.airbnb.com/rooms/10003
10004,Modern Apartment in Ridgewood,1203,Benjamin,t,Superhost,Queens,Ridgewood,40.71043,-73.7763,Private room,59,1,59.0,2,100,2026-07-24,2.78,3,Small Host (2-4),Budget (<$100),34,4.94,https://www.airbnb.com/rooms/10004
10005,Minimalist Apartment in Sunnyside,1240,Noah,t,Superhost,Queens,Sunnyside,40.70389,-73.81174,Private room,120,2,60.0,3,45,2026-08-01,4.19,8,Multi-Listing Host (5+),Moderate ($100-$250),144,4.97,https://www.airbnb.com/rooms/10005
10006,Chic Apartment in Bushwick,1312,Daniel,t,Superhost,Brooklyn,Bushwick,40.66484,-73.92974,Private room,87,2,43.5,2,78,2026-07-27,2.27,8,Multi-Listing Host (5+),Budget (<$100),45,4.99,https://www.airbnb.com/rooms/10006
10007,Boho Studio in Hell's Kitchen,1311,Sophia,f,Standard Host,Manhattan,Hell's Kitchen,40.79445,-73.97514,Private room,141,3,47.0,2,50,2026-06-14,7.54,1,Single Listing,Moderate ($100-$250),13,4.54,https://www.airbnb.com/rooms/10007
10008,Spacious Studio in Midtown,1343,Mia,t,Superhost,Manhattan,Midtown,40.75251,-73.96633,Entire home/apt,306,2,153.0,3,72,2026-06-25,3.85,12,Multi-Listing Host (5+),Luxury (>$250),344,4.99,https://www.airbnb.com/rooms/10008
10009,Cozy Brownstone Unit in SoHo,1275,Benjamin,t,Superhost,Manhattan,SoHo,40.78611,-73.98034,Entire home/apt,170,2,85.0,7,41,2026-06-23,2.25,1,Single Listing,Moderate ($100-$250),40,4.91,https://www.airbnb.com/rooms/10009
10010,Spacious Suite in Hell's Kitchen,1285,Mia,t,Superhost,Manhattan,Hell's Kitchen,40.79258,-73.97799,Private room,270,1,270.0,1,78,2026-01-19,7.27,1,Single Listing,Luxury (>$250),105,4.93,https://www.airbnb.com/rooms/10010
